Id,Class
0,1
1,8
2,4
3,7
4,5
5,7
6,7
7,1
8,1
9,2
10,1
11,3
12,6
13,9
14,1
15,0
16,4
17,0
18,3
19,7
20,3
21,0
22,4
23,1
24,3
25,9
26,3
27,0
28,1
29,7
30,2
31,6
32,2
33,5
34,1
35,2
36,9
37,3
38,2
39,0
40,1
41,2
42,7
43,9
44,2
45,9
46,3
47,1
48,7
49,2
50,4
51,4
52,7
53,9
54,9
55,9
56,2
57,3
58,0
59,1
60,2
61,0
62,7
63,1
64,3
65,9
66,7
67,1
68,9
69,0
70,2
71,1
72,9
73,0
74,1
75,3
76,7
77,0
78,2
79,3
80,3
81,7
82,8
83,9
84,5
85,1
86,9
87,0
88,9
89,5
90,2
91,1
92,2
93,1
94,5
95,8
96,7
97,8
98,5
99,1
100,1
101,4
102,1
103,2
104,6
105,9
106,1
107,2
108,6
109,1
110,9
111,2
112,7
113,1
114,8
115,9
116,7
117,4
118,1
119,2
120,2
121,5
122,1
123,3
124,7
125,2
126,1
127,5
128,5
129,9
130,5
131,8
132,6
133,1
134,0
135,9
136,7
137,0
138,5
139,9
140,6
141,8
142,7
143,4
144,7
145,8
146,9
147,7
148,0
149,0
150,8
151,5
152,2
153,7
154,1
155,8
156,1
157,1
158,9
159,8
160,9
161,7
162,3
163,9
164,1
165,2
166,2
167,9
168,7
169,2
170,3
171,3
172,0
173,9
174,0
175,3
176,2
177,8
178,0
179,9
180,2
181,0
182,3
183,3
184,2
185,1
186,7
187,2
188,2
189,4
190,9
191,1
192,3
193,7
194,7
195,2
196,1
197,3
198,0
199,9
200,5
201,0
202,7
203,1
204,0
205,9
206,5
207,2
208,8
209,9
210,0
211,8
212,3
213,3
214,9
215,2
216,0
217,9
218,2
219,0
220,6
221,7
222,3
223,8
224,0
225,2
226,7
227,7
228,1
229,1
230,3
231,2
232,8
233,4
234,7
235,9
236,2
237,6
238,8
239,4
240,7
241,9
242,4
243,9
244,9
245,1
246,1
247,1
248,3
249,8
250,8
251,7
252,9
253,9
254,1
255,2
256,7
257,9
258,2
259,3
260,3
261,2
262,0
263,5
264,1
265,1
266,5
267,7
268,4
269,0
270,0
271,1
272,0
273,5
274,1
275,5
276,9
277,2
278,5
279,5
280,2
281,3
282,0
283,2
284,1
285,6
286,2
287,7
288,1
289,2
290,1
291,5
292,9
293,7
294,8
295,9
296,9
297,1
298,7
299,1
300,5
301,9
302,4
303,7
304,7
305,7
306,4
307,3
308,8
309,3
310,0
311,3
312,1
313,9
314,9
315,8
316,4
317,5
318,9
319,1
320,4
321,5
322,4
323,3
324,0
325,3
326,2
327,1
328,7
329,1
330,1
331,3
332,4
333,3
334,5
335,5
336,8
337,8
338,1
339,8
340,1
341,9
342,3
343,2
344,8
345,1
346,1
347,2
348,9
349,7
350,5
351,3
352,7
353,0
354,7
355,7
356,3
357,9
358,1
359,0
360,5
361,2
362,3
363,9
364,2
365,7
366,4
367,2
368,2
369,1
370,4
371,9
372,1
373,8
374,3
375,9
376,7
377,0
378,9
379,1
380,2
381,1
382,1
383,3
384,3
385,9
386,7
387,0
388,0
389,4
390,4
391,1
392,7
393,2
394,9
395,9
396,1
397,7
398,8
399,8
400,7
401,8
402,1
403,7
404,1
405,1
406,2
407,7
408,8
409,2
410,9
411,7
412,9
413,7
414,0
415,2
416,9
417,2
418,1
419,7
420,3
421,0
422,4
423,8
424,7
425,4
426,7
427,4
428,3
429,1
430,6
431,3
432,7
433,1
434,9
435,3
436,9
437,7
438,3
439,4
440,4
441,9
442,2
443,9
444,7
445,1
446,5
447,0
448,3
449,9
450,2
451,1
452,8
453,9
454,5
455,2
456,2
457,2
458,9
459,9
460,2
461,9
462,9
463,2
464,0
465,3
466,1
467,7
468,3
469,1
470,7
471,7
472,3
473,9
474,1
475,8
476,9
477,7
478,3
479,2
480,9
481,3
482,3
483,7
484,2
485,7
486,1
487,9
488,1
489,7
490,3
491,0
492,7
493,7
494,3
495,7
496,7
497,8
498,5
499,9
500,4
501,9
502,0
503,7
504,5
505,7
506,1
507,1
508,8
509,7
510,2
511,4
512,2
513,6
514,1
515,8
516,9
517,2
518,2
519,1
520,5
521,2
522,0
523,1
524,3
525,5
526,0
527,6
528,9
529,8
530,5
531,9
532,0
533,2
534,0
535,8
536,1
537,9
538,1
539,1
540,3
541,9
542,7
543,0
544,1
545,2
546,1
547,6
548,8
549,1
550,7
551,0
552,1
553,7
554,5
555,1
556,5
557,4
558,4
559,0
560,8
561,1
562,0
563,4
564,9
565,2
566,1
567,8
568,9
569,9
570,5
571,1
572,4
573,8
574,1
575,1
576,2
577,5
578,7
579,1
580,5
581,8
582,3
583,1
584,4
585,6
586,1
587,3
588,9
589,2
590,9
591,1
592,9
593,7
594,3
595,7
596,3
597,8
598,1
599,7
600,3
601,0
602,0
603,0
604,7
605,4
606,1
607,8
608,9
609,2
610,2
611,9
612,1
613,0
614,7
615,3
616,0
617,9
618,7
619,2
620,0
621,3
622,3
623,0
624,1
625,7
626,0
627,9
628,8
629,3
630,9
631,7
632,1
633,7
634,9
635,3
636,0
637,3
638,8
639,5
640,1
641,0
642,8
643,4
644,2
645,8
646,3
647,5
648,9
649,9
650,5
651,0
652,7
653,1
654,2
655,2
656,9
657,1
658,1
659,7
660,8
661,0
662,3
663,2
664,9
665,1
666,7
667,9
668,9
669,2
670,0
671,9
672,1
673,1
674,1
675,1
676,1
677,3
678,2
679,1
680,0
681,7
682,3
683,2
684,3
685,7
686,5
687,1
688,4
689,1
690,1
691,9
692,7
693,1
694,5
695,7
696,1
697,9
698,7
699,0
700,7
701,2
702,7
703,2
704,3
705,4
706,9
707,8
708,7
709,3
710,0
711,4
712,8
713,2
714,9
715,8
716,5
717,5
718,2
719,0
720,2
721,9
722,2
723,2
724,3
725,1
726,2
727,7
728,0
729,2
730,3
731,1
732,1
733,3
734,2
735,2
736,3
737,1
738,9
739,1
740,4
741,2
742,9
743,1
744,3
745,2
746,8
747,2
748,2
749,8
750,8
751,9
752,1
753,0
754,0
755,7
756,1
757,9
758,1
759,1
760,1
761,7
762,8
763,3
764,0
765,9
766,3
767,2
768,2
769,2
770,1
771,2
772,8
773,1
774,2
775,3
776,1
777,2
778,2
779,8
780,6
781,3
782,8
783,0
784,2
785,7
786,1
787,9
788,9
789,9
790,1
791,2
792,3
793,1
794,1
795,3
796,3
797,6
798,6
799,7
800,1
801,0
802,3
803,8
804,2
805,0
806,7
807,1
808,4
809,2
810,5
811,3
812,7
813,0
814,1
815,7
816,0
817,1
818,9
819,1
820,5
821,3
822,4
823,6
824,9
825,1
826,2
827,9
828,7
829,3
830,0
831,0
832,3
833,9
834,9
835,2
836,2
837,1
838,7
839,9
840,4
841,5
842,5
843,5
844,7
845,0
846,6
847,9
848,1
849,2
850,4
851,4
852,7
853,9
854,1
855,1
856,0
857,2
858,5
859,0
860,2
861,3
862,4
863,5
864,8
865,7
866,9
867,5
868,2
869,1
870,2
871,5
872,6
873,9
874,7
875,1
876,9
877,1
878,4
879,9
880,9
881,0
882,2
883,0
884,1
885,4
886,7
887,3
888,2
889,4
890,3
891,3
892,1
893,2
894,5
895,0
896,9
897,1
898,3
899,4
900,7
901,4
902,8
903,9
904,9
905,1
906,7
907,1
908,0
909,6
910,7
911,7
912,1
913,2
914,9
915,7
916,3
917,3
918,5
919,0
920,2
921,6
922,9
923,9
924,0
925,2
926,1
927,0
928,1
929,1
930,4
931,2
932,7
933,1
934,1
935,3
936,7
937,9
938,6
939,9
940,2
941,1
942,1
943,3
944,9
945,1
946,2
947,7
948,0
949,8
950,1
951,1
952,0
953,7
954,0
955,9
956,7
957,1
958,7
959,9
960,7
961,6
962,9
963,3
964,3
965,1
966,2
967,1
968,7
969,8
970,4
971,1
972,2
973,3
974,9
975,9
976,1
977,3
978,4
979,1
980,5
981,7
982,9
983,4
984,0
985,1
986,7
987,8
988,0
989,0
990,9
991,1
992,7
993,8
994,6
995,1
996,9
997,3
998,9
999,2
1000,4
1001,9
1002,9
1003,0
1004,1
1005,2
1006,7
1007,0
1008,7
1009,3
1010,5
1011,0
1012,3
1013,9
1014,7
1015,3
1016,1
1017,4
1018,8
1019,5
1020,9
1021,1
1022,3
1023,2
1024,7
1025,7
1026,2
1027,1
1028,2
1029,0
1030,3
1031,3
1032,4
1033,1
1034,9
1035,7
1036,0
1037,1
1038,1
1039,7
1040,0
1041,9
1042,9
1043,7
1044,1
1045,7
1046,4
1047,3
1048,7
1049,9
1050,2
1051,8
1052,3
1053,2
1054,2
1055,3
1056,7
1057,4
1058,1
1059,5
1060,4
1061,7
1062,0
1063,7
1064,9
1065,7
1066,5
1067,1
1068,7
1069,1
1070,8
1071,3
1072,9
1073,1
1074,7
1075,7
1076,2
1077,3
1078,3
1079,3
1080,0
1081,3
1082,5
1083,9
1084,2
1085,0
1086,9
1087,0
1088,8
1089,9
1090,3
1091,7
1092,9
1093,1
1094,0
1095,3
1096,2
1097,9
1098,7
1099,7
1100,7
1101,2
1102,1
1103,9
1104,2
1105,4
1106,3
1107,1
1108,0
1109,9
1110,1
1111,0
1112,3
1113,8
1114,2
1115,1
1116,0
1117,1
1118,9
1119,9
1120,1
1121,1
1122,9
1123,8
1124,8
1125,2
1126,4
1127,7
1128,5
1129,3
1130,1
1131,2
1132,2
1133,7
1134,3
1135,1
1136,9
1137,7
1138,5
1139,9
1140,7
1141,4
1142,3
1143,9
1144,9
1145,1
1146,3
1147,9
1148,2
1149,7
1150,9
1151,9
1152,5
1153,2
1154,5
1155,3
1156,6
1157,2
1158,3
1159,1
1160,1
1161,1
1162,3
1163,3
1164,8
1165,3
1166,2
1167,9
1168,5
1169,0
1170,1
1171,3
1172,3
1173,9
1174,9
1175,4
1176,9
1177,3
1178,9
1179,5
1180,6
1181,0
1182,2
1183,9
1184,8
1185,7
1186,4
1187,5
1188,8
1189,1
1190,8
1191,7
1192,4
1193,8
1194,2
1195,2
1196,3
1197,1
1198,0
1199,3
1200,6
1201,7
1202,7
1203,0
1204,1
1205,1
1206,2
1207,7
1208,7
1209,1
1210,9
1211,0
1212,3
1213,8
1214,4
1215,1
1216,4
1217,3
1218,1
1219,0
1220,6
1221,3
1222,2
1223,0
1224,4
1225,3
1226,8
1227,1
1228,9
1229,2
1230,2
1231,7
1232,7
1233,3
1234,3
1235,9
1236,1
1237,9
1238,1
1239,1
1240,8
1241,5
1242,5
1243,9
1244,9
1245,0
1246,9
1247,7
1248,4
1249,9
1250,9
1251,2
1252,1
1253,0
1254,7
1255,0
1256,1
1257,2
1258,6
1259,0
1260,2
1261,7
1262,9
1263,7
1264,0
1265,6
1266,2
1267,4
1268,7
1269,4
1270,2
1271,0
1272,3
1273,2
1274,4
1275,2
1276,1
1277,1
1278,7
1279,8
1280,0
1281,7
1282,2
1283,2
1284,1
1285,3
1286,1
1287,2
1288,2
1289,2
1290,7
1291,7
1292,6
1293,0
1294,0
1295,9
1296,1
1297,5
1298,4
1299,1
1300,5
1301,1
1302,1
1303,9
1304,7
1305,3
1306,9
1307,3
1308,3
1309,4
1310,2
1311,0
1312,9
1313,5
1314,1
1315,9
1316,4
1317,2
1318,4
1319,7
1320,4
1321,7
1322,0
1323,7
1324,7
1325,4
1326,2
1327,8
1328,1
1329,5
1330,5
1331,2
1332,3
1333,4
1334,7
1335,7
1336,4
1337,7
1338,7
1339,3
1340,0
1341,3
1342,3
1343,7
1344,9
1345,2
1346,9
1347,9
1348,3
1349,3
1350,2
1351,2
1352,1
1353,3
1354,1
1355,6
1356,7
1357,9
1358,2
1359,9
1360,8
1361,2
1362,3
1363,1
1364,7
1365,5
1366,1
1367,3
1368,3
1369,9
1370,7
1371,1
1372,2
1373,2
1374,3
1375,2
1376,0
1377,9
1378,0
1379,7
1380,9
1381,2
1382,7
1383,0
1384,0
1385,1
1386,8
1387,3
1388,7
1389,9
1390,0
1391,9
1392,2
1393,9
1394,8
1395,1
1396,8
1397,0
1398,4
1399,3
1400,5
1401,2
1402,1
1403,8
1404,8
1405,2
1406,6
1407,4
1408,9
1409,4
1410,5
1411,4
1412,7
1413,6
1414,8
1415,7
1416,1
1417,8
1418,9
1419,2
1420,1
1421,2
1422,7
1423,4
1424,2
1425,0
1426,7
1427,8
1428,9
1429,4
1430,9
1431,5
1432,2
1433,3
1434,9
1435,0
1436,7
1437,4
1438,8
1439,1
1440,3
1441,7
1442,0
1443,8
1444,7
1445,0
1446,9
1447,9
1448,8
1449,0
1450,1
1451,9
1452,1
1453,3
1454,8
1455,2
1456,3
1457,9
1458,6
1459,1
1460,6
1461,4
1462,7
1463,7
1464,1
1465,1
1466,0
1467,3
1468,1
1469,1
1470,2
1471,7
1472,2
1473,9
1474,1
1475,3
1476,0
1477,8
1478,9
1479,3
1480,5
1481,2
1482,7
1483,1
1484,9
1485,9
1486,7
1487,1
1488,2
1489,7
1490,1
1491,7
1492,2
1493,2
1494,5
1495,5
1496,0
1497,9
1498,9
1499,3
1500,1
1501,7
1502,2
1503,9
1504,9
1505,9
1506,2
1507,9
1508,3
1509,7
1510,9
1511,7
1512,9
1513,2
1514,7
1515,7
1516,7
1517,1
1518,7
1519,2
1520,0
1521,1
1522,1
1523,4
1524,2
1525,7
1526,0
1527,7
1528,3
1529,2
1530,9
1531,4
1532,2
1533,9
1534,2
1535,1
1536,1
1537,7
1538,9
1539,6
1540,7
1541,9
1542,7
1543,7
1544,7
1545,2
1546,3
1547,7
1548,0
1549,1
1550,9
1551,2
1552,5
1553,4
1554,3
1555,0
1556,3
1557,2
1558,5
1559,1
1560,1
1561,0
1562,4
1563,2
1564,2
1565,9
1566,7
1567,2
1568,3
1569,7
1570,9
1571,8
1572,7
1573,2
1574,8
1575,7
1576,3
1577,5
1578,9
1579,2
1580,0
1581,9
1582,7
1583,7
1584,2
1585,2
1586,7
1587,1
1588,1
1589,2
1590,1
1591,4
1592,3
1593,3
1594,3
1595,2
1596,0
1597,1
1598,9
1599,3
1600,7
1601,2
1602,7
1603,3
1604,4
1605,5
1606,2
1607,4
1608,3
1609,0
1610,2
1611,7
1612,0
1613,3
1614,3
1615,7
1616,2
1617,9
1618,7
1619,9
1620,9
1621,0
1622,2
1623,4
1624,7
1625,8
1626,1
1627,7
1628,3
1629,2
1630,1
1631,4
1632,2
1633,9
1634,9
1635,8
1636,9
1637,1
1638,9
1639,1
1640,1
1641,1
1642,0
1643,7
1644,9
1645,9
1646,2
1647,7
1648,0
1649,4
1650,9
1651,2
1652,1
1653,0
1654,8
1655,7
1656,0
1657,2
1658,7
1659,9
1660,8
1661,3
1662,5
1663,8
1664,3
1665,0
1666,3
1667,6
1668,7
1669,7
1670,7
1671,2
1672,8
1673,3
1674,1
1675,6
1676,1
1677,7
1678,1
1679,5
1680,9
1681,6
1682,5
1683,7
1684,8
1685,9
1686,7
1687,7
1688,2
1689,4
1690,1
1691,2
1692,7
1693,2
1694,2
1695,5
1696,7
1697,1
1698,7
1699,1
1700,2
1701,1
1702,1
1703,8
1704,0
1705,7
1706,5
1707,9
1708,2
1709,2
1710,3
1711,1
1712,1
1713,0
1714,7
1715,2
1716,1
1717,6
1718,0
1719,4
1720,1
1721,6
1722,7
1723,1
1724,5
1725,4
1726,2
1727,1
1728,3
1729,2
1730,3
1731,8
1732,9
1733,6
1734,2
1735,1
1736,7
1737,7
1738,1
1739,0
1740,1
1741,4
1742,3
1743,5
1744,2
1745,8
1746,1
1747,1
1748,9
1749,7
1750,4
1751,5
1752,3
1753,6
1754,3
1755,1
1756,0
1757,9
1758,1
1759,7
1760,1
1761,2
1762,1
1763,6
1764,1
1765,1
1766,8
1767,1
1768,7
1769,1
1770,1
1771,5
1772,1
1773,6
1774,0
1775,3
1776,3
1777,9
1778,7
1779,1
1780,1
1781,1
1782,2
1783,7
1784,0
1785,7
1786,7
1787,9
1788,9
1789,3
1790,1
1791,1
1792,1
1793,2
1794,0
1795,8
1796,1
1797,9
1798,7
1799,1
1800,7
1801,9
1802,8
1803,4
1804,0
1805,0
1806,3
1807,7
1808,3
1809,9
1810,1
1811,8
1812,0
1813,1
1814,9
1815,7
1816,7
1817,8
1818,3
1819,8
1820,6
1821,1
1822,3
1823,3
1824,2
1825,6
1826,3
1827,5
1828,3
1829,4
1830,9
1831,0
1832,3
1833,0
1834,2
1835,9
1836,9
1837,1
1838,5
1839,2
1840,8
1841,2
1842,3
1843,2
1844,9
1845,7
1846,9
1847,3
1848,8
1849,7
1850,8
1851,7
1852,3
1853,9
1854,4
1855,2
1856,2
1857,0
1858,0
1859,8
1860,9
1861,0
1862,9
1863,2
1864,0
1865,0
1866,4
1867,0
1868,9
1869,3
1870,3
1871,3
1872,5
1873,1
1874,2
1875,3
1876,1
1877,7
1878,9
1879,8
1880,1
1881,7
1882,9
1883,1
1884,7
1885,9
1886,2
1887,3
1888,9
1889,9
1890,7
1891,7
1892,2
1893,1
1894,2
1895,1
1896,9
1897,8
1898,3
1899,5
1900,7
1901,4
1902,6
1903,8
1904,7
1905,4
1906,3
1907,3
1908,2
1909,7
1910,7
1911,4
1912,1
1913,1
1914,9
1915,7
1916,7
1917,6
1918,2
1919,2
1920,0
1921,1
1922,9
1923,1
1924,1
1925,1
1926,1
1927,8
1928,1
1929,1
1930,8
1931,3
1932,3
1933,5
1934,6
1935,2
1936,2
1937,4
1938,1
1939,0
1940,8
1941,7
1942,1
1943,3
1944,1
1945,1
1946,2
1947,9
1948,5
1949,2
1950,2
1951,9
1952,3
1953,7
1954,0
1955,2
1956,0
1957,8
1958,5
1959,0
1960,3
1961,0
1962,1
1963,0
1964,5
1965,2
1966,6
1967,2
1968,9
1969,0
1970,1
1971,9
1972,9
1973,5
1974,5
1975,3
1976,4
1977,1
1978,4
1979,0
1980,8
1981,4
1982,7
1983,3
1984,2
1985,1
1986,1
1987,9
1988,9
1989,9
1990,2
1991,3
1992,3
1993,3
1994,0
1995,7
1996,4
1997,2
1998,3
1999,3
2000,5
2001,2
2002,3
2003,2
2004,2
2005,0
2006,9
2007,9
2008,2
2009,2
2010,7
2011,2
2012,1
2013,6
2014,2
2015,0
2016,9
2017,6
2018,9
2019,2
2020,7
2021,0
2022,9
2023,2
2024,1
2025,0
2026,5
2027,7
2028,9
2029,1
2030,2
2031,1
2032,7
2033,5
2034,4
2035,3
2036,1
2037,9
2038,1
2039,9
2040,4
2041,9
2042,1
2043,4
2044,7
2045,7
2046,1
2047,7
2048,7
2049,1
2050,4
2051,0
2052,9
2053,7
2054,7
2055,3
2056,1
2057,4
2058,2
2059,2
2060,1
2061,9
2062,0
2063,2
2064,2
2065,7
2066,9
2067,3
2068,7
2069,2
2070,4
2071,0
2072,7
2073,7
2074,1
2075,5
2076,9
2077,1
2078,0
2079,2
2080,1
2081,3
2082,7
2083,2
2084,9
2085,2
2086,7
2087,3
2088,2
2089,9
2090,2
2091,8
2092,3
2093,8
2094,6
2095,8
2096,9
2097,6
2098,0
2099,7
2100,9
2101,3
2102,7
2103,1
2104,7
2105,0
2106,4
2107,5
2108,7
2109,0
2110,9
2111,9
2112,5
2113,8
2114,4
2115,7
2116,2
2117,1
2118,6
2119,3
2120,1
2121,2
2122,7
2123,7
2124,9
2125,2
2126,1
2127,1
2128,1
2129,8
2130,4
2131,4
2132,4
2133,1
2134,9
2135,9
2136,3
2137,4
2138,7
2139,9
2140,8
2141,2
2142,2
2143,8
2144,2
2145,2
